id,name,intro,fans
122879,敖厂长,观看已经被和谐的囧的呼唤:youtube.com/c/hawkaoaoful,1086
1532165,papi酱,微博关注：papi酱 微信订阅：dapapi,1085
883968,暴走漫画,"搞笑是我们的基因，不吐槽浑身难受，王尼玛和暴走家族一起承包你的笑点,订阅我们，一起玩耍吧，微博@王尼玛、暴走漫画",1027
777536,LexBurner,"新浪微博：http://weibo.com/lexburner
",1022
4162287,渗透之C君,微博@渗透之C菌 weibo.com/roshinichi 谢谢你喜欢我!,833
375375,伊丽莎白鼠,一个热爱鬼畜的普通人。微博：@伊丽莎白鼠  weibo.com/LittleWhiteMouse,769
221648,柚子木字幕组,商务合作联系QQ 2523113364,684
1577804,某幻君,有事私信新娘浪微博: http://weibo.com/mouhuanjun b站私信不怎么看！,663
546195,老番茄,新浪微博：_老番茄_,638
8578857,谷阿莫,來這邊只是聽我說一個我喜歡的故事，我不評論故事原本的含意或導演拍攝的用意，因為那些東西每個人都有不同的看法，謝謝,636
