Source,Target,Weight,Type
154919,883968,5.406852419506262,Directed
323866,883968,5.406852419506262,Directed
1537595,883968,5.406852419506262,Directed
1639023,883968,5.406852419506262,Directed
1722126,883968,5.406852419506262,Directed
1818969,883968,5.406852419506262,Directed
2911717,883968,5.406852419506262,Directed
3009321,883968,5.406852419506262,Directed
4199427,883968,5.406852419506262,Directed
5388180,883968,5.406852419506262,Directed
6143591,883968,5.406852419506262,Directed
6672806,883968,5.406852419506262,Directed
6967888,883968,5.406852419506262,Directed
7336918,883968,5.406852419506262,Directed
7505167,883968,5.406852419506262,Directed
8775104,883968,5.406852419506262,Directed
8822833,883968,5.406852419506262,Directed
10103876,883968,5.406852419506262,Directed
10700763,883968,5.406852419506262,Directed
11076745,883968,5.406852419506262,Directed
12172594,883968,5.406852419506262,Directed
12957630,883968,5.406852419506262,Directed
13097200,883968,5.406852419506262,Directed
13148683,883968,5.406852419506262,Directed
13210742,883968,5.406852419506262,Directed
13449036,883968,5.406852419506262,Directed
13478104,883968,5.406852419506262,Directed
13932948,883968,5.406852419506262,Directed
13971773,883968,5.406852419506262,Directed
14274683,883968,5.406852419506262,Directed
15958082,883968,5.406852419506262,Directed
16346854,883968,5.406852419506262,Directed
16401744,883968,5.406852419506262,Directed
17838901,883968,5.406852419506262,Directed
18209577,883968,5.406852419506262,Directed
19002962,883968,5.406852419506262,Directed
19066581,883968,5.406852419506262,Directed
19178086,883968,5.406852419506262,Directed
19329242,883968,5.406852419506262,Directed
20246890,883968,5.406852419506262,Directed
20647359,883968,5.406852419506262,Directed
21902963,883968,5.406852419506262,Directed
22072042,883968,5.406852419506262,Directed
22407104,883968,5.406852419506262,Directed
23014918,883968,5.406852419506262,Directed
23087289,883968,5.406852419506262,Directed
23126163,883968,5.406852419506262,Directed
24341124,883968,5.406852419506262,Directed
24696946,883968,5.406852419506262,Directed
25084492,883968,5.406852419506262,Directed
25282142,883968,5.406852419506262,Directed
26143691,883968,5.406852419506262,Directed
26330975,883968,5.406852419506262,Directed
27032923,883968,5.406852419506262,Directed
32323499,883968,5.406852419506262,Directed
32710696,883968,5.406852419506262,Directed
33003205,883968,5.406852419506262,Directed
33137791,883968,5.406852419506262,Directed
35161420,883968,5.406852419506262,Directed
35451274,883968,5.406852419506262,Directed
35549537,883968,5.406852419506262,Directed
36622761,883968,5.406852419506262,Directed
37977410,883968,5.406852419506262,Directed
40687560,883968,5.406852419506262,Directed
41347644,883968,5.406852419506262,Directed
49836534,883968,5.406852419506262,Directed
50484250,883968,5.406852419506262,Directed
54154017,883968,5.406852419506262,Directed
55219165,883968,5.406852419506262,Directed
56862653,883968,5.406852419506262,Directed
57143844,883968,5.406852419506262,Directed
61172711,883968,5.406852419506262,Directed
61425312,883968,5.406852419506262,Directed
81086462,883968,5.406852419506262,Directed
85327779,883968,5.406852419506262,Directed
86925012,883968,5.406852419506262,Directed
89053894,883968,5.406852419506262,Directed
90322675,883968,5.406852419506262,Directed
99719810,883968,5.406852419506262,Directed
3790037,13934589,8.625087386983125,Directed
4776001,13934589,8.625087386983125,Directed
8943587,13934589,8.625087386983125,Directed
9817255,13934589,8.625087386983125,Directed
11894400,13934589,8.625087386983125,Directed
12680671,13934589,8.625087386983125,Directed
15249751,13934589,8.625087386983125,Directed
15664722,13934589,8.625087386983125,Directed
18562027,13934589,8.625087386983125,Directed
24254154,13934589,8.625087386983125,Directed
31774897,13934589,8.625087386983125,Directed
35382037,13934589,8.625087386983125,Directed
36164317,13934589,8.625087386983125,Directed
36914874,13934589,8.625087386983125,Directed
37329669,13934589,8.625087386983125,Directed
37513693,13934589,8.625087386983125,Directed
37677242,13934589,8.625087386983125,Directed
38165122,13934589,8.625087386983125,Directed
38211725,13934589,8.625087386983125,Directed
38344841,13934589,8.625087386983125,Directed
40240139,13934589,8.625087386983125,Directed
40648817,13934589,8.625087386983125,Directed
57762557,13934589,8.625087386983125,Directed
63652377,13934589,8.625087386983125,Directed
66639594,13934589,8.625087386983125,Directed
66821131,13934589,8.625087386983125,Directed
80457983,13934589,8.625087386983125,Directed
95386344,13934589,8.625087386983125,Directed
